trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
359,False,"{'e': 0.0015338106793244643, 'a': 0.54}",25,0,36.112230478417516,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'e': 0.0015064490802475029, 'a': 0.54}",25,19,10.222354746825296,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'e': 0.0014795755838511004, 'a': 0.54}",25,12,-15.674520440337265,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
362,False,"{'e': 0.0014531814828873313, 'a': 0.54}",20,8,19.636442822558124,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'e': 0.0014272582254365878, 'a': 0.54}",25,6,14.466847206326342,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
364,False,"{'e': 0.0014017974121366757, 'a': 0.54}",25,8,27.87677116787413,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'e': 0.001376790793461352, 'a': 0.54}",20,12,14.647464195740879,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'e': 0.0013522302670474046, 'a': 0.54}",20,3,32.67637633748003,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'e': 0.0013281078750694197, 'a': 0.54}",25,16,15.108113962579845,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'e': 0.0013044158016613707, 'a': 0.54}",35,16,30.53655927913736,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'e': 0.0012811463703842126, 'a': 0.54}",30,18,21.26079739839548,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'e': 0.0012582920417386473, 'a': 0.54}",20,16,6.677836414420563,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'e': 0.001235845410722264, 'a': 0.54}",25,12,-21.930333427108394,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
372,False,"{'e': 0.0012137992044302473, 'a': 0.54}",30,1,19.880709745798175,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
373,False,"{'e': 0.001192146279698896, 'a': 0.54}",25,11,25.945386746326523,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'e': 0.0011708796207911755, 'a': 0.54}",25,20,7.628485314477562,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'e': 0.0011499923371235557, 'a': 0.54}",25,11,26.158566265619232,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'e': 0.0011294776610334067, 'a': 0.54}",30,17,21.17609366439657,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'e': 0.0011093289455862097, 'a': 0.54}",20,11,12.598673891543797,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'e': 0.0010895396624218973, 'a': 0.54}",20,10,16.14477659812609,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'e': 0.0010701033996396044, 'a': 0.54}",20,10,20.978955562232482,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
